Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2961,394.087964,NA,2.103,2.134,0.000,0.151,0.151,0.072,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,4.960,7.999,4.960,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2962,394.089926,NA,1.962,1.964,0.000,0.152,0.152,0.078,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,5.316,8.572,5.316,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2963,394.091809,NA,1.883,1.891,0.000,0.161,0.161,0.086,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,5.541,8.935,5.541,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2964,394.094524,NA,2.715,2.712,0.000,0.158,0.158,0.058,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,3.842,6.196,3.842,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2965,394.096434,NA,1.910,1.900,0.000,0.148,0.148,0.077,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,5.461,8.806,5.461,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2966,394.098328,NA,1.894,1.907,0.000,0.161,0.161,0.085,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,5.508,8.883,5.508,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2967,394.100143,NA,1.815,1.807,0.000,0.153,0.153,0.084,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,5.747,9.268,5.747,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2968,394.102002,NA,1.859,1.854,0.000,0.148,0.148,0.079,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,5.611,9.049,5.611,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2969,394.103826,NA,1.824,1.828,0.000,0.152,0.152,0.084,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,5.720,9.224,5.720,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,12972,0x0000000000000000,0,0,Hardware: Legacy Flip,0,2970,394.105652,NA,1.826,1.824,0.000,0.150,0.150,0.082,NA,550,NA,4,NA,2857,13801,51,52,NA,NA,5.713,9.212,5.713,59,95,95,NA,3800,12, 47,29.528, 125,62,12,0,1,0,0,9,8,10,8,2,4,1,0,0,0,18,15,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
