Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,37,2546.843637,NA,165.539,165.547,0.000,0.129,0.129,0.001,NA,550,NA,2,NA,2797,13801,95,71,NA,NA,0.042,0.067,0.042,89,144,144,NA,3514,10,NA,NA,NA,89,11,5,2,2,2,5,6,5,4,9,3,3,10,2,2,2,2,6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,38,2547.006215,NA,162.578,162.574,0.000,0.125,0.125,0.001,NA,550,NA,2,NA,2797,13801,95,71,NA,NA,0.043,0.069,0.043,89,144,144,NA,3514,10, 53,28.573, 125,89,11,5,2,2,2,5,6,5,4,9,3,3,10,2,2,2,2,6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,39,2547.169080,NA,162.866,162.917,0.000,0.177,0.177,0.001,NA,550,NA,2,NA,2797,13801,95,71,NA,NA,0.043,0.069,0.043,89,144,144,NA,3514,10,NA,NA,NA,89,11,5,2,2,2,5,6,5,4,9,3,3,10,2,2,2,2,6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,40,2547.331052,NA,161.971,162.042,0.000,0.248,0.248,0.002,NA,550,NA,2,NA,2797,13801,98,67,NA,NA,0.036,0.059,0.036,104,169,169,NA,3612,7, 51,25.239, 125,42,5,0,0,0,0,1,3,0,1,6,0,0,6,0,0,0,0,5,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,41,2547.502737,NA,171.685,171.577,0.000,0.141,0.141,0.001,NA,550,NA,2,NA,2797,13801,98,67,NA,NA,0.034,0.056,0.034,104,169,169,NA,3612,7, 52,28.837, 125,42,5,0,0,0,0,1,3,0,1,6,0,0,6,0,0,0,0,5,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,42,2547.663341,NA,160.604,160.578,0.000,0.114,0.114,0.001,NA,550,NA,2,NA,2797,13801,98,67,NA,NA,0.037,0.059,0.037,104,169,169,NA,3612,7, 52,28.925, 125,42,5,0,0,0,0,1,3,0,1,6,0,0,6,0,0,0,0,5,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,43,2547.824733,NA,161.393,161.444,0.000,0.165,0.165,0.001,NA,550,NA,2,NA,2797,13801,99,70,NA,NA,0.028,0.045,0.028,138,222,222,NA,3600,7, 52,28.925, 125,71,6,0,0,0,0,1,3,5,1,9,1,0,6,0,0,0,0,4,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,44,2547.995707,NA,170.973,170.954,0.000,0.146,0.146,0.001,NA,550,NA,2,NA,2797,13801,99,70,NA,NA,0.026,0.042,0.026,138,222,222,NA,3600,7, 50,29.358, 125,71,6,0,0,0,0,1,3,5,1,9,1,0,6,0,0,0,0,4,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,45,2548.167334,NA,171.627,171.582,0.000,0.101,0.101,0.001,NA,550,NA,2,NA,2797,13801,99,70,NA,NA,0.026,0.042,0.026,138,222,222,NA,3600,7, 50,26.542, 125,71,6,0,0,0,0,1,3,5,1,9,1,0,6,0,0,0,0,4,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,34028,0x0000000000000000,0,0,Hardware: Legacy Flip,0,46,2548.328891,NA,161.557,161.572,0.000,0.117,0.117,0.001,NA,550,NA,2,NA,2797,13801,99,72,NA,NA,0.037,0.060,0.037,103,167,167,NA,3615,8,NA,NA,NA,72,9,1,1,0,0,2,4,3,1,8,1,0,6,0,0,0,0,6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
