Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,47,2605.325022,NA,208.102,208.531,0.000,0.605,0.605,0.003,NA,550,NA,2,NA,2790,13801,98,69,NA,NA,0.026,0.043,0.026,112,181,181,NA,3643,9,NA,NA,NA,26,10,2,2,2,2,7,5,6,4,3,2,4,2,2,7,8,2,5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,48,2605.532814,NA,207.792,207.333,0.000,0.146,0.146,0.001,NA,550,NA,2,NA,2790,13801,98,69,NA,NA,0.027,0.043,0.027,112,181,181,NA,3643,9,NA,NA,NA,26,10,2,2,2,2,7,5,6,4,3,2,4,2,2,7,8,2,5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,49,2605.738852,NA,206.037,206.130,0.000,0.238,0.238,0.001,NA,550,NA,2,NA,2790,13801,99,74,NA,NA,0.025,0.040,0.025,121,195,195,NA,3574,7,NA,NA,NA,35,6,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,0,3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,50,2605.943768,NA,204.917,204.872,0.000,0.193,0.193,0.001,NA,550,NA,2,NA,2790,13801,99,74,NA,NA,0.025,0.040,0.025,121,195,195,NA,3574,7,NA,NA,NA,35,6,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,0,3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,51,2606.147420,NA,203.652,203.632,0.000,0.173,0.173,0.001,NA,550,NA,2,NA,2790,13801,99,74,NA,NA,0.025,0.040,0.025,121,195,195,NA,3574,7, 53,21.351, 125,35,6,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,0,3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,52,2606.352040,NA,204.619,204.578,0.000,0.132,0.132,0.001,NA,550,NA,2,NA,2790,13801,99,73,NA,NA,0.022,0.036,0.022,137,221,221,NA,3626,10,NA,NA,NA,18,11,2,2,2,2,7,4,6,4,2,3,4,3,2,10,9,2,5,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,53,2606.557217,NA,205.178,205.172,0.000,0.127,0.127,0.001,NA,550,NA,2,NA,2790,13801,99,73,NA,NA,0.022,0.035,0.022,137,221,221,NA,3626,10,NA,NA,NA,18,11,2,2,2,2,7,4,6,4,2,3,4,3,2,10,9,2,5,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,OGL,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,54,2606.762585,NA,205.368,205.359,0.000,0.117,0.117,0.001,NA,550,NA,2,NA,2790,13801,99,73,NA,NA,0.021,0.034,0.021,141,228,228,NA,3613,6, 52,25.855, 125,60,5,0,0,0,0,0,0,2,0,0,0,0,0,0,4,7,0,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,55,2606.967417,NA,204.832,204.971,0.000,0.256,0.256,0.001,NA,550,NA,2,NA,2790,13801,99,73,NA,NA,0.021,0.034,0.021,141,228,228,NA,3613,6,NA,NA,NA,60,5,0,0,0,0,0,0,2,0,0,0,0,0,0,4,7,0,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,56,2607.173580,NA,206.162,206.136,0.000,0.229,0.229,0.001,NA,550,NA,2,NA,2790,13801,99,73,NA,NA,0.021,0.034,0.021,141,228,228,NA,3613,6,NA,NA,NA,60,5,0,0,0,0,0,0,2,0,0,0,0,0,0,4,7,0,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,57,2607.379920,NA,206.340,206.541,0.000,0.430,0.430,0.002,NA,550,NA,2,NA,2790,13801,100,72,NA,NA,0.021,0.034,0.021,143,231,231,NA,3608,10,NA,NA,NA,64,9,2,2,2,2,4,6,6,4,3,3,3,3,2,11,10,2,6,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cis5650_boids.exe,NVIDIA GeForce RTX 5070,Intel(R) Core(TM) Ultra 7 265K,WINDOWED,Other,1,35628,0x0000000000000000,0,0,Hardware: Legacy Flip,0,58,2607.585803,NA,205.883,205.653,0.000,0.200,0.200,0.001,NA,550,NA,2,NA,2790,13801,100,72,NA,NA,0.021,0.034,0.021,143,231,231,NA,3608,10,NA,NA,NA,64,9,2,2,2,2,4,6,6,4,3,3,3,3,2,11,10,2,6,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
