// Note average FPS was incorrectly divided by 12 instead of 10. Processed data fixes this mistake and formats the data better for a csv
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:1000000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:91.012, Data: 104.41, 109.535, 110.188, 109.922, 110.523, 109.993, 109.998, 110.516, 109.556, 107.502, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:2000000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:26.4164, Data: 29.8735, 30.4449, 30.7009, 31.3575, 32.1299, 32.4932, 32.5359, 32.5703, 32.4751, 32.4158, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:1000000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:12.1433, Data: 14.0264, 14.0909, 14.2572, 14.5596, 14.8143, 14.7995, 14.7737, 14.8069, 14.8116, 14.7793, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:2000000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:2.62929, Data: 2.96731, 3.02818, 3.12581, 3.21074, 3.21358, 3.21316, 3.19532, 3.20256, 3.19963, 3.19512, 

Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:5000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1594.66, Data: 1853.69, 1894.72, 1905.51, 1801.37, 1936.74, 1922.93, 1957.94, 1916.77, 1993.32, 1952.91, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:10000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1804.75, Data: 2239.89, 2284.91, 2220.67, 2197.56, 2185.78, 2148.63, 2163.95, 2107.25, 2042.8, 2065.55, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:25000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1756.16, Data: 2107.29, 2144.35, 2205.39, 2138.8, 2123.33, 2123.68, 2111.97, 2049.77, 2037.41, 2031.95, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:50000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1485.32, Data: 1744.97, 1740.94, 1751.89, 1689.4, 1758.16, 1724.81, 1773.77, 1870.37, 1904.88, 1864.63, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:100000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1317.19, Data: 1611.96, 1565.29, 1587.87, 1593.71, 1582.98, 1590.49, 1585.94, 1571.29, 1563.61, 1553.13, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:250000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:618.286, Data: 731.059, 754.817, 731.922, 735.818, 752.196, 741.111, 759.227, 721.616, 761.031, 730.637, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:500000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:268.744, Data: 308.752, 318.835, 321.446, 323.449, 322.127, 322.565, 329.151, 324.553, 326.937, 327.119, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:1000000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:86.8753, Data: 102.794, 103.589, 104.744, 104.999, 106.224, 105.313, 104.264, 103.285, 103.925, 103.367, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:20000000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:0.292421, Data: 0.332413, 0.352362, 0.352183, 0.353812, 0.354139, 0.353595, 0.354087, 0.353896, 0.354636, 0.347923, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:5000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1696.96, Data: 1996.82, 1942.92, 2020.97, 2025.69, 2033.06, 2035.95, 2072.92, 2093.64, 2109.69, 2031.85, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:10000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1808.99, Data: 2118, 2092.98, 2167.61, 2135.87, 2105.71, 2212.96, 2258.6, 2174.22, 2280.35, 2161.61, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:25000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1567.23, Data: 1901.88, 1983.48, 1912.42, 1834.77, 1879.43, 1926.9, 1932.9, 1781.44, 1842.62, 1810.86, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:50000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1422.6, Data: 1723.7, 1701.88, 1697.04, 1694.89, 1726.65, 1733.95, 1696.85, 1701.63, 1692.47, 1702.17, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:100000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1286.15, Data: 1598.24, 1547.6, 1494.69, 1481.87, 1574.76, 1545.72, 1540.78, 1553.92, 1546.6, 1549.63, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:250000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:645.399, Data: 738.576, 745.688, 783.743, 779.883, 777.335, 775.751, 795.839, 784.956, 783.756, 779.259, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:500000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:274.305, Data: 304.268, 322.523, 321.45, 326.054, 332.386, 333.352, 336.305, 338.926, 338.098, 338.292, 
