Visualize,Uniform Grid,Coherent Grid,Boid Count,Block Size,Grid Looping Optimization,Grid Width Scale,Average FPS
0,1,1,50000,128,1,2,1682.052
0,1,1,100000,128,1,2,1420.608
0,1,1,250000,128,1,2,760.2264
0,1,1,500000,128,1,2,315.0492
0,1,1,1000000,128,1,2,104.57568
0,1,1,5000,128,1,1,1990.548
0,1,1,10000,128,1,1,1681.932
0,1,1,25000,128,1,1,1121.5956
0,1,1,50000,128,1,1,1948.464
0,1,1,100000,128,1,1,1759.908
0,1,1,250000,128,1,1,900.3348
0,1,1,500000,128,1,1,502.2804
0,1,1,1000000,128,1,1,195.036
0,1,1,5000,128,1,0.5,1815.156
0,1,1,10000,128,1,0.5,1708.656
0,1,1,25000,128,1,0.5,1924.572
0,1,1,50000,128,1,0.5,1829.316
0,1,1,100000,128,1,0.5,1384.02
0,1,1,250000,128,1,0.5,756.9684
0,1,1,500000,128,1,0.5,368.19
0,1,1,1000000,128,1,0.5,160.2084
0,1,1,5000,128,1,0.25,1345.956
0,1,1,10000,128,1,0.25,1283.592
0,1,1,25000,128,1,0.25,1081.8396
0,1,1,50000,128,1,0.25,579.5628
0,1,1,100000,128,1,0.25,366.4764
0,1,1,250000,128,1,0.25,189.8232
0,1,1,500000,128,1,0.25,128.0856
0,1,1,1000000,128,1,0.25,66.43092
